epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2753.4,1.08521,1.23239,1.71888,0.68906,0.5625,0.58751,0.40713,1.36782,2.93197,2.48126,0.000990365,0.000990365,0.000990365
43,2812.78,1.08933,1.21599,1.72065,0.31458,0.55208,0.32798,0.19069,2.23941,10.2501,4.40272,0.000973861,0.000973861,0.000973861
44,2877.61,1.01661,1.07836,1.62141,0.49216,0.52083,0.37439,0.17892,2.41359,6.34208,4.90989,0.000957358,0.000957358,0.000957358
45,2940.2,1.0376,1.16072,1.64127,0.61572,0.55208,0.4331,0.2264,2.06737,7.72887,4.48766,0.000940855,0.000940855,0.000940855
46,2999.81,1.04932,1.15167,1.62742,0.67171,0.91667,0.90783,0.69508,0.94702,0.96658,1.8379,0.000924352,0.000924352,0.000924352
47,3060.01,0.97853,1.06302,1.56102,0.41952,0.49858,0.16551,0.092,1.7612,3.29825,3.09683,0.000907848,0.000907848,0.000907848
48,3119.29,1.01987,1.17807,1.63582,0.4401,0.55208,0.33701,0.19464,1.74762,5.14226,3.26761,0.000891345,0.000891345,0.000891345
49,3177.88,1.04724,1.18482,1.60957,0.6591,0.44792,0.51741,0.39868,1.3263,3.62614,2.94694,0.000874842,0.000874842,0.000874842
50,3241.87,0.97871,1.03157,1.59896,0.77508,0.55208,0.64861,0.50643,1.09729,1.82313,2.0261,0.000858338,0.000858338,0.000858338
51,3309.43,0.96088,1.05624,1.57563,0.74682,0.5264,0.40306,0.21081,1.94336,3.73216,3.72954,0.000841835,0.000841835,0.000841835
52,3376.8,0.92538,1.05314,1.48866,0.56694,0.5614,0.46554,0.25974,1.6251,3.34396,3.42191,0.000825332,0.000825332,0.000825332
53,3444.29,0.89448,1.02498,1.52864,0.75746,0.59988,0.75619,0.6074,0.84554,1.57337,1.65706,0.000808828,0.000808828,0.000808828
54,3511.5,0.83986,0.94672,1.44355,0.56985,0.56915,0.20203,0.08469,2.12167,6.68345,4.15002,0.000792325,0.000792325,0.000792325
55,3577.18,0.88361,1.01608,1.45677,0.84603,0.52391,0.46194,0.26794,1.77898,4.4645,3.78001,0.000775822,0.000775822,0.000775822
56,3642.82,0.90528,0.97375,1.5125,0.82007,0.56592,0.81649,0.61593,0.95007,1.16007,1.74414,0.000759318,0.000759318,0.000759318
57,3708.39,0.84524,0.95273,1.45884,0.77134,0.47917,0.5842,0.43821,1.12526,2.22686,2.25494,0.000742815,0.000742815,0.000742815
58,3773.92,0.82325,0.9064,1.39968,0.60898,0.55407,0.33256,0.16727,2.10316,4.61666,4.277,0.000726312,0.000726312,0.000726312
59,3839.4,0.8372,0.96448,1.41923,0.8921,0.67708,0.79682,0.64515,0.75646,1.00087,1.52998,0.000709809,0.000709809,0.000709809
60,3904.94,0.83975,0.94915,1.40878,0.85493,0.61061,0.83907,0.68596,0.81186,1.08673,1.6087,0.000693305,0.000693305,0.000693305
61,3971.98,0.85162,0.97803,1.45284,0.27546,0.51042,0.274,0.13953,2.4295,5.2603,4.10577,0.000676802,0.000676802,0.000676802
62,4039.59,0.76091,0.86376,1.40985,0.71219,0.77333,0.88916,0.73149,0.64397,0.89455,1.44501,0.000660299,0.000660299,0.000660299
63,4106.45,0.78054,0.88437,1.38191,0.81988,0.59375,0.73801,0.60253,0.82279,1.25349,1.70041,0.000643795,0.000643795,0.000643795
64,4172.9,0.76365,0.89249,1.34456,0.28723,0.47917,0.27117,0.15879,2.18596,9.49853,4.16062,0.000627292,0.000627292,0.000627292
65,4230.55,0.76334,0.90316,1.34209,0.66119,0.82909,0.87848,0.69405,0.74661,0.89787,1.48848,0.000610789,0.000610789,0.000610789
66,4297.13,0.80465,0.95281,1.37254,0.58198,0.75186,0.79999,0.62237,0.81868,1.18565,1.58036,0.000594286,0.000594286,0.000594286
67,4364.89,0.74648,0.83159,1.33774,0.62339,0.92906,0.90089,0.73332,0.65859,0.99095,1.39247,0.000577782,0.000577782,0.000577782
68,4433.05,0.73221,0.82157,1.29177,0.67902,0.87708,0.87235,0.73313,0.57178,0.86272,1.33963,0.000561279,0.000561279,0.000561279
69,4500.32,0.763,0.8999,1.35942,0.68932,0.59375,0.72067,0.5635,0.86447,1.30533,1.59391,0.000544776,0.000544776,0.000544776
70,4567.92,0.69757,0.82132,1.26386,0.24923,0.60417,0.25002,0.14037,1.95581,10.2255,3.86119,0.000528272,0.000528272,0.000528272
71,4635.57,0.70662,0.85412,1.32136,0.81958,0.58747,0.74303,0.63491,0.6251,1.12261,1.39975,0.000511769,0.000511769,0.000511769
72,4703.21,0.76458,0.87508,1.35048,0.63403,0.58103,0.40915,0.25875,1.56466,4.18269,3.4756,0.000495266,0.000495266,0.000495266
73,4770.47,0.71109,0.86818,1.2798,0.61026,0.92537,0.8529,0.71823,0.67378,1.02224,1.38198,0.000478762,0.000478762,0.000478762
